"genus","species","taxon","taxon_provided","log10_range","mass_g","source_mass","n","kingdom","phylum","class","order","family","taxonomy_source","gbif_confidence","gbif_status","gbif_family","gbif_order","species_changed"
"Abalistes","Abalistes filamentosus","Abalistes_filamentosus","Abalistes filamentosus",0,1375,"fishbase",1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","GBIF",99,"ACCEPTED","Balistidae","Tetraodontiformes",FALSE
"Abalistes","Abalistes stellaris","Abalistes_stellaris","Abalistes stellaris",0,3711,"Cai_etal_2025",1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","GBIF",99,"ACCEPTED","Balistidae","Tetraodontiformes",FALSE
"Abatus","Abatus cavernosus","Abatus_cavernosus","Abatus cavernosus",0,2.7,"Brose_etal_2018",1,"Animalia","Echinodermata","Echinoidea","Spatangoida","Schizasteridae","GBIF",99,"ACCEPTED","Schizasteridae","Spatangoida",FALSE
"Abatus","Abatus curvidens","Abatus_curvidens","Abatus curvidens",0,1.4,"Brose_etal_2018",1,"Animalia","Echinodermata","Echinoidea","Spatangoida","Schizasteridae","GBIF",99,"ACCEPTED","Schizasteridae","Spatangoida",FALSE
"Abatus","Abatus nimrodi","Abatus_nimrodi","Abatus nimrodi",0,3.7,"Brose_etal_2018",1,"Animalia","Echinodermata","Echinoidea","Spatangoida","Schizasteridae","GBIF",99,"ACCEPTED","Schizasteridae","Spatangoida",FALSE
"Abatus","Abatus shackletoni","Abatus_shackletoni","Abatus shackletoni",0,1.9,"Brose_etal_2018",1,"Animalia","Echinodermata","Echinoidea","Spatangoida","Schizasteridae","GBIF",99,"ACCEPTED","Schizasteridae","Spatangoida",FALSE
"Abavorana","Abavorana luctuosa","Hylarana_luctuosa","Hylarana luctuosa",0,28.1,"AmphiBIO",1,"Animalia","Chordata","Amphibia","Anura","Ranidae","GBIF",98,"SYNONYM","Ranidae","Anura",TRUE
"Abax","Abax ovalis","Abax_ovalis","Abax ovalis",0,0.286,"Brose_etal_2018",2,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF",99,"ACCEPTED","Carabidae","Coleoptera",FALSE
"Abax","Abax parallelepipedus","Abax_parallelepipedus","Abax parallelepipedus",0,0.582,"Brose_etal_2018",2,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF",99,"ACCEPTED","Carabidae","Coleoptera",FALSE
"Abax","Abax parallelus","Abax_parallelus","Abax parallelus",0,0.5437,"Brose_etal_2018",1,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF",97,"ACCEPTED","Carabidae","Coleoptera",FALSE
"Abbottina","Abbottina binhi","Abbottina_binhi","Abbottina binhi",0,1.3,"Cai_etal_2025",1,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","GBIF",99,"ACCEPTED","Cyprinidae","Cypriniformes",FALSE
"Abbottina","Abbottina obtusirostris","Abbottina_obtusirostris","Abbottina obtusirostris",0,13.5,"Cai_etal_2025; fishbase",2,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","GBIF",99,"ACCEPTED","Cyprinidae","Cypriniformes",FALSE
"Abbottina","Abbottina rivularis","Abbottina_rivularis","Abbottina rivularis",0.72288216174143,49.95,"Cai_etal_2025; Killen_etal_2016",2,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","GBIF",99,"ACCEPTED","Cyprinidae","Cypriniformes",FALSE
"Abditomys","Abditomys latidens","Abditomys_latidens","Abditomys latidens",0.00147166529523127,268.7,"Faurby_etal_2018; Smith_2003; rdataretriever-pantheria_rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Mammalia","Rodentia","Muridae","GBIF",99,"ACCEPTED","Muridae","Rodentia",FALSE
"Abeillia","Abeillia abeillei","Abeillia_abeillei","Abeillia abeillei",0,2.7,"Wilman_etal_2014; rdataretriever-amniote-life-hist",2,"Animalia","Chordata","Aves","Apodiformes","Trochilidae","GBIF",99,"ACCEPTED","Trochilidae","Apodiformes",FALSE
