taxon,mass_g,source_mass,n,kingdom,phylum,class,order,family,genus,species,confidence
Abalistes_filamentosus,1375.0,fishbase,1.0,Animalia,Chordata,,Tetraodontiformes,Balistidae,Abalistes,Abalistes filamentosus,99.0
Abalistes_stellaris,3711.0,Cai_etal_2025,1.0,Animalia,Chordata,,Tetraodontiformes,Balistidae,Abalistes,Abalistes stellaris,99.0
Abbottina_binhi,1.3,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Abbottina,Abbottina binhi,99.0
Abbottina_obtusirostris,13.5,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Abbottina,Abbottina obtusirostris,99.0
Abbottina_rivularis,15.9,Killen_etal_2016,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Abbottina,Abbottina rivularis,99.0
Abbottina_springeri,5.2,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Biwia,Biwia springeri,98.0
Ablennes_hians,4326.9,Cai_etal_2025,1.0,Animalia,Chordata,,Beloniformes,Belonidae,Ablennes,Ablennes hians,99.0
Abramis_brama,398.0,Brown_etal_2018,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Abramis,Abramis brama,97.0
Abramites_hypselonotus,35.2,Cai_etal_2025,1.0,Animalia,Chordata,,Characiformes,Anostomidae,Abramites,Abramites hypselonotus,99.0
Abudefduf_bengalensis,124.1,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Pomacentridae,Abudefduf,Abudefduf bengalensis,99.0
Abudefduf_saxatilis,80.0,Mahe_2023,,Animalia,Chordata,,Perciformes,Pomacentridae,Abudefduf,Abudefduf saxatilis,99.0
Abudefduf_taurus,227.628418071582,fishbase; Froese_2014,,Animalia,Chordata,,Perciformes,Pomacentridae,Abudefduf,Abudefduf taurus,99.0
Abudefduf_vaigiensis,203.0,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Pomacentridae,Abudefduf,Abudefduf vaigiensis,99.0
Acanthaluteres_brownii,2625.4,Cai_etal_2025,1.0,Animalia,Chordata,,Tetraodontiformes,Monacanthidae,Acanthaluteres,Acanthaluteres brownii,99.0
Acanthistius_pictus,1862.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Serranidae,Acanthistius,Acanthistius pictus,99.0
Acanthobrama_orontis,57.3800010681152,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Acanthobrama,Acanthobrama orontis,99.0
Acanthobrama_thisbeae,166.15265472725,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Acanthobrama,Acanthobrama thisbeae,99.0
Acanthobrama_urmianus,40.0,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Acanthobrama,Acanthobrama urmianus,99.0
Acanthochromis_polyacanthus,2.57,Killen_etal_2016,1.0,Animalia,Chordata,,Perciformes,Pomacentridae,Acanthochromis,Acanthochromis polyacanthus,99.0
Acanthocobitis_botia,36.3,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Nemacheilidae,Acanthocobitis,Acanthocobitis botia,99.0
Acanthocobitis_zonalternans,3.2,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Nemacheilidae,Acanthocobitis,Acanthocobitis zonalternans,99.0
Acanthocybium_solandri,14882.1503822532,Hirt_etal_2017,1.0,Animalia,Chordata,,Perciformes,Scombridae,Acanthocybium,Acanthocybium solandri,99.0
Acanthogobio_guentheri,69.6,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Acanthogobio,Acanthogobio guentheri,99.0
Acanthogobius_flavimanus,212.6,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Gobiidae,Acanthogobius,Acanthogobius flavimanus,99.0
Acanthogobius_ommaturus,298.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Gobiidae,Synechogobius,Synechogobius ommaturus,98.0
Acanthopagrus_australis,2475.0,AnAge,1.0,Animalia,Chordata,,Perciformes,Sparidae,Acanthopagrus,Acanthopagrus australis,99.0
Acanthopagrus_berda,660.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Sparidae,Acanthopagrus,Acanthopagrus berda,99.0
Acanthopagrus_butcheri,2200.0,AnAge,1.0,Animalia,Chordata,,Perciformes,Sparidae,Acanthopagrus,Acanthopagrus butcheri,99.0
Acanthopagrus_latus,1310.6,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Sparidae,Acanthopagrus,Acanthopagrus latus,99.0
Acanthopagrus_schlegelii_schlegelii,2951.6,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Sparidae,Acanthopagrus,Acanthopagrus schlegelii,98.0
Acanthopsetta_nadeshnyi,1200.0,fishbase,1.0,Animalia,Chordata,,Pleuronectiformes,Pleuronectidae,Acanthopsetta,Acanthopsetta nadeshnyi,99.0
Acanthopsoides_gracilentus,1.2,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cobitidae,Acanthopsoides,Acanthopsoides gracilentus,99.0
Acanthorhodeus_chankaensis,30.1,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Acanthorhodeus,Acanthorhodeus chankaensis,99.0
Acanthostracion_polygonium,152.399993896484,fishbase,1.0,Animalia,Chordata,,Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion polygonius,95.0
Acanthostracion_polygonius,405.8,Mahe_2023,,Animalia,Chordata,,Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion polygonius,99.0
Acanthostracion_quadricornis,283.6,deAstarloa_1995,,Animalia,Chordata,,Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion quadricornis,99.0
Acanthurus_guttatus,470.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Acanthuridae,Acanthurus,Acanthurus guttatus,98.0
