taxon,mass_g,source_mass,n,normalized_mass
_Nanonycteris,21.35,Smith_2003,1.0,-0.03596935067101073
_Natalus,5.75522663623422,Smith_2003,1.0,-0.03599017312518488
Abalistes_filamentosus,1375.0,fishbase,1.0,-0.0341619300413317
Abbottina_binhi,1.3,Cai_etal_2025,1.0,-0.03599612183314648
Abbottina_obtusirostris,13.5,Cai_etal_2025,1.0,-0.0359798321484554
Abbottina_rivularis,15.9,Killen_etal_2016,1.0,-0.035976627620319446
Abbottina_springeri,5.2,Cai_etal_2025,1.0,-0.03599091447492556
Abditomys_latidens,269.0,Smith_2003,1.0,-0.03563868342398231
Abeomelomys_sevia,56.3649110706297,rdataretriever-pantheria_rdataretriever-amniote-life-hist,2.0,-0.03592259805946754
Ablennes_hians,4326.9,Cai_etal_2025,1.0,-0.030220493956118012
Ablepharus_bivittatus,4.363,Meiri_2018,1.0,-0.03599203205411297
Ablepharus_chernovi,2.944,Meiri_2018,1.0,-0.03599392673137335
Ablepharus_darvazi,1.52,Meiri_2018,1.0,-0.03599582808473402
Ablepharus_deserti,3.875,Meiri_2018,1.0,-0.03599268364150062
Ablepharus_grayanus,0.719,Meiri_2018,1.0,-0.03599689759599939
Ablepharus_kitaibelii,3.708,Meiri_2018,1.0,-0.03599290662325008
Ablepharus_lindbergi,2.296,Meiri_2018,1.0,-0.03599479195397006
Ablepharus_pannonicus,3.123,Meiri_2018,1.0,-0.03599368772698321
Abralia_multihamata,10.0,sealifebase,1.0,-0.03598450541865366
Abramis_brama,398.0,Brown_etal_2018,1.0,-0.035466440036674964
Abrawayaomys_ruschii,63.0,Smith_2003,1.0,-0.03591373875565142
Abrocoma_bennetti,307.0,rdataretriever-mammal-life-hist,1.0,-0.03558794506182976
Abrocoma_bennettii,250.501,Smith_2003,1.0,-0.03566338365981021
Abrocoma_boliviensis,158.001,Smith_2003,1.0,-0.035786891515049976
Abrocoma_cinerea,250.0,Smith_2003,1.0,-0.03566405260505859
Abrocoma_famatina,221.82,rdataretriever-amniote-life-hist,1.0,-0.03570167910625488
Abrocoma_shistacea,221.82,rdataretriever-amniote-life-hist,1.0,-0.03570167910625488
Abrocoma_vaccarum,221.82,rdataretriever-amniote-life-hist,1.0,-0.03570167910625488
Abronia_anzuetoi,44.521,Meiri_2018,1.0,-0.03593841228707818
Abronia_aurita,34.06,Meiri_2018,1.0,-0.03595238002409075
Abronia_bogerti,12.632,Meiri_2018,1.0,-0.03598099111946457
Abronia_campbelli,35.995,Meiri_2018,1.0,-0.03594979637328115
Abronia_chiszari,18.567,Meiri_2018,1.0,-0.03597306658842837
Abronia_cuetzpali,25.482,Meiri_2018,1.0,-0.03596383354173666
Abronia_deppii,30.415,Meiri_2018,1.0,-0.035957246901197226
Abronia_frosti,21.83,Meiri_2018,1.0,-0.035968709765383536
Abronia_fuscolabialis,27.871,Meiri_2018,1.0,-0.03596064370102134
Abronia_gaiophantasma,21.83,Meiri_2018,1.0,-0.035968709765383536
Abronia_graminea,22.317,Meiri_2018,1.0,-0.03596805951321595
Abronia_leurolepis,18.567,Meiri_2018,1.0,-0.03597306658842837
Abronia_lythrochila,29.55,Meiri_2018,1.0,-0.03595840186654623
Abronia_martindelcampoi,25.482,Meiri_2018,1.0,-0.03596383354173666
Abronia_matudai,21.83,Meiri_2018,1.0,-0.035968709765383536
Abronia_mitchelli,18.567,Meiri_2018,1.0,-0.03597306658842837
Abronia_mixteca,61.307,Meiri_2018,1.0,-0.035915999283207316
Abronia_montecristoi,12.171,Meiri_2018,1.0,-0.035981606655910686
Abronia_oaxacae,27.057,Meiri_2018,1.0,-0.03596173057014745
Abronia_ochoterenai,24.344,Meiri_2018,1.0,-0.035965353022161126
Abronia_ornelasi,14.092,Meiri_2018,1.0,-0.03597904169818186
Abronia_ramirezi,12.171,Meiri_2018,1.0,-0.035981606655910686
Abronia_reidi,15.668,Meiri_2018,1.0,-0.03597693739137259
Abronia_salvadorensis,12.632,Meiri_2018,1.0,-0.03598099111946457
